,link,event,position,date
0,https://rabota.ua/cv/5669965,VR_choice,CMO,01.11.19
1,https://rabota.ua/cv/4956278,VR_choice,CMO,01.11.19
2,https://rabota.ua/cv/10694129,VR_choice,CMO,01.11.19
3,https://rabota.ua/cv/8470231,VR_choice,CMO,01.11.19
4,https://rabota.ua/cv/13108905,VR_choice,CMO,01.11.19
5,https://rabota.ua/cv/4349995,VR_choice,CMO,01.11.19
6,https://rabota.ua/cv/10296068,VR_choice,CMO,01.11.19
7,https://rabota.ua/cv/6095045,VR_choice,CMO,01.11.19
8,https://rabota.ua/cv/2714113,VR_choice,CMO,01.11.19
9,https://rabota.ua/cv/3392006,VR_choice,CMO,01.11.19
10,https://rabota.ua/cv/5669965,VR_meet,CMO,2019-11-13 00:00:00
11,https://rabota.ua/cv/13108905,VR_meet,CMO,2019-11-11 00:00:00
12,https://rabota.ua/cv/6095045,VR_meet,CMO,2019-11-11 00:00:00
13,https://rabota.ua/cv/3392006,VR_meet,CMO,2019-11-11 00:00:00
14,https://rabota.ua/cv/3392006,AY_meet,CMO,2019-11-15 00:00:00
15,https://rabota.ua/cv/11926446,email_sent,CCO,16.12.19
16,https://rabota.ua/cv/5871428,email_sent,CCO,16.12.19
17,https://rabota.ua/cv/6871142,email_sent,CCO,16.12.19
18,https://rabota.ua/cv/8099458,email_sent,CCO,16.12.19
19,https://rabota.ua/cv/8220189,email_sent,CCO,16.12.19
20,https://rabota.ua/cv/4546874,email_sent,CCO,16.12.19
21,https://rabota.ua/cv/6295406,email_sent,CCO,16.12.19
22,https://rabota.ua/cv/6316501,email_sent,CCO,16.12.19
23,https://rabota.ua/cv/5871428,VR_meet,CCO,16.12.19
24,https://rabota.ua/cv/6871142,VR_meet,CCO,17.12.19
25,https://rabota.ua/cv/8220189,VR_meet,CCO,16.12.19
26,https://rabota.ua/cv/8220189,AI_meet,CCO,16.12.19
27,https://rabota.ua/cv/10372671,email_sent,CMO,13.12.19
28,https://rabota.ua/cv/6971625,email_sent,CMO,13.12.19
29,https://rabota.ua/cv/6971625,VR_meet,CMO,18.12.19
